PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
210,2021-06-06,19:06:37.90,1,2,"Agle, Davis",1000054713,Right,SPA_B,"McGinnis, Chipper",1000069631,Left,FC_OB,Undefined,7,Top,0,0,1,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,88.90958,-2.802808,-0.394188,2437.215972,213.42825,1:00,6.11125,0.66285,6.55897,-17.4767,16.94131,10.47095,2.08307,1.17402,81.59377,-6.139556,1.50993,0.422245,67.77832,44.520365,-56.938606,3958.736526,46.31123,63.32471,-99.77594,216.46409,,-71.441964,3.942038,-5.63091,10.01756,-0.63988,50,5.91035,0.49463,-129.20327,-6.77937,-9.52578,26.72447,-15.22742,SPA_B,FC_OB,Spartanburg,Coastal Plains League,CPL,20210606-Spartanburg-1,d8f436e0-c71b-11eb-8b21-2587103ee89a,89.26679,63.4273,,7.3158,,,,0.80848,2.21279,-1.28636,1535fbaf-d75b-4715-945c-e5afa488a363,2021-06-06,23:06:37.90,2021-06-06T19:06:37.9080996-04:00,2021-06-06T23:06:37.9080996Z,Popup,v3,,,,"Hutchins, Ben",1000100020,Right,SPA_B,6ab509df-82d0-483b-a0b6-9f82e72c41d5,53.9396,-130.01558,13.36223,6.10938,-6.31652,-7.61371,-0.65932,0.78417,-4.76289,,0.80757,38.69505,-10.77228,2.91375,-1.00065,0.39331,-0.11798,0.01957,-0.00129,2.2132,69.68913,-22.80236,2.15952,-0.31047,-0.00204,0.01028,-0.00101,-3E-05,-1.2862,-59.40896,2.97816,-0.46361,0.18903,-0.11795,0.04535,-0.00874,0.00065,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
211,2021-06-06,19:06:58.20,1,3,"Agle, Davis",1000054713,Right,SPA_B,"McGinnis, Chipper",1000069631,Left,FC_OB,Undefined,7,Top,0,0,2,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,88.77814,-2.377349,-0.933501,2400.07947,201.051466,12:45,6.19048,0.51637,6.75593,-18.96501,14.9082,5.37603,2.43709,0.11165,82.33276,-5.976653,0.047782,0.41889,89.73851,-21.807376,-11.867206,,,,,7.01508,,-11.280682,0.04814,-3.08961,8.78827,-0.45719,50,6.02716,1.91305,-129.20064,-5.86197,-5.28724,23.79033,-17.13476,SPA_B,FC_OB,Spartanburg,Coastal Plains League,CPL,20210606-Spartanburg-1,e50c8720-c71b-11eb-8b21-2587103ee89a,89.98178,2.03633,,6.44538,,,,1.12273,2.35373,-0.16255,1535fbaf-d75b-4715-945c-e5afa488a363,2021-06-06,23:06:58.20,2021-06-06T19:06:58.2091556-04:00,2021-06-06T23:06:58.2091556Z,GroundBall,v3,,,,"Hutchins, Ben",1000100020,Right,SPA_B,0f729242-6782-41fa-8b1f-cfda1af90c75,53.7438,-129.88818,11.89516,6.18942,-5.36678,-8.56738,-0.51469,2.06585,-2.64362,,1.12273,119.5858,,,,,,,,2.35373,-48.89378,,,,,,,,-0.16255,-25.1292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
212,2021-06-06,19:07:38.84,2,1,"Agle, Davis",1000054713,Right,SPA_B,"McGowan, Kendall",1000026861,Right,FC_OB,Undefined,7,Top,1,0,0,Slider,Curveball,BallinDirt,Undefined,Undefined,Undefined,0,0,,76.50669,-1.560027,-2.181802,2091.082228,90.585943,9:00,6.03474,0.42359,7.08213,-43.88132,1.28276,-3.87221,0.96057,-1.88046,71.46854,-9.741013,-2.893729,0.483691,,,,,,,,,,,,1.52673,1.50248,-0.29218,50,5.92809,4.35776,-111.37392,-4.11043,1.93492,18.31687,-30.26989,SPA_B,FC_OB,Spartanburg,Coastal Plains League,CPL,20210606-Spartanburg-1,fd4712b0-c71b-11eb-8b21-2587103ee89a,77.9267,,,5.03815,,,,,,,1535fbaf-d75b-4715-945c-e5afa488a363,2021-06-06,23:07:38.84,2021-06-06T19:07:38.8414756-04:00,2021-06-06T23:07:38.8414756Z,,v3,,,,"Hutchins, Ben",1000100020,Right,SPA_B,d6f5a296-a84f-4f3f-a58b-c110f5cf7c58,53.41779,-111.93461,9.15843,6.03973,-3.18386,-15.13494,-0.42467,4.29854,0.96746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
213,2021-06-06,19:07:55.50,2,2,"Agle, Davis",1000054713,Right,SPA_B,"McGowan, Kendall",1000026861,Right,FC_OB,Undefined,7,Top,1,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.76704,-4.444338,-1.49242,2376.853052,212.564843,1:00,6.09618,0.50527,6.79416,-15.43961,19.04725,11.43253,0.74358,0.09551,81.19862,-7.421773,0.595347,0.422667,,,,,,,,,,,,-6.47926,11.71808,-0.41224,50,5.80129,2.93109,-128.71699,-10.35497,-10.83605,27.50041,-12.57649,SPA_B,FC_OB,Spartanburg,Coastal Plains League,CPL,20210606-Spartanburg-1,0732e600-c71c-11eb-8b21-2587103ee89a,89.17762,,,7.56842,,,,,,,1535fbaf-d75b-4715-945c-e5afa488a363,2021-06-06,23:07:55.50,2021-06-06T19:07:55.5038500-04:00,2021-06-06T23:07:55.5038500Z,,v3,,,,"Hutchins, Ben",1000100020,Right,SPA_B,da4a55e5-9a15-4f26-9187-ad638389d06f,53.70343,-129.50581,13.75021,6.09314,-9.99423,-6.28824,-0.50077,3.24191,-5.41803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
214,2021-06-06,19:08:13.07,2,3,"Agle, Davis",1000054713,Right,SPA_B,"McGowan, Kendall",1000026861,Right,FC_OB,Undefined,7,Top,1,2,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,88.43181,-3.069765,-1.587648,2289.036714,196.032063,12:30,6.059,0.58963,6.69854,-16.23261,18.25918,4.94721,1.89556,-0.4502,81.46547,-6.182028,-0.686211,0.422697,,,,,,,,,,,,-3.03169,10.78091,-0.48587,50,5.8479,3.3796,-128.49438,-7.28603,-5.0979,25.18558,-14.04547,SPA_B,FC_OB,Spartanburg,Coastal Plains League,CPL,20210606-Spartanburg-1,11b18370-c71c-11eb-8b21-2587103ee89a,89.17127,,,6.96634,,,,,,,1535fbaf-d75b-4715-945c-e5afa488a363,2021-06-06,23:08:13.07,2021-06-06T19:08:13.0750244-04:00,2021-06-06T23:08:13.0750244Z,,v3,,,,"Hutchins, Ben",1000100020,Right,SPA_B,195e0b50-5496-4521-a39f-e853a11feea1,53.79982,-129.23702,12.59279,6.05663,-6.87188,-7.02274,-0.58774,3.52992,-2.54895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
215,2021-06-06,19:08:35.18,2,4,"Agle, Davis",1000054713,Right,SPA_B,"McGowan, Kendall",1000026861,Right,FC_OB,Undefined,7,Top,1,2,1,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,88.82142,-3.783044,-0.523384,2510.059171,196.361694,12:30,6.14399,0.2205,6.97342,-12.10162,21.76167,6.085,1.68935,0.2515,81.77178,-6.153917,0.591447,0.418828,91.7927,-9.389901,-27.485944,,,,,12.57655,,-24.368987,0.081065,-3.40311,12.96961,-0.19005,50,5.90565,0.96716,-129.07303,-8.7631,-5.76861,25.65502,-10.18927,SPA_B,FC_OB,Spartanburg,Coastal Plains League,CPL,20210606-Spartanburg-1,1edd3f80-c71c-11eb-8b21-2587103ee89a,89.99499,1.89901,,7.04964,,,,1.90402,1.78059,-0.21972,1535fbaf-d75b-4715-945c-e5afa488a363,2021-06-06,23:08:35.18,2021-06-06T19:08:35.1871780-04:00,2021-06-06T23:08:35.1871780Z,GroundBall,v3,,,,"Hutchins, Ben",1000100020,Right,SPA_B,9d4b1037-4d1a-4ee8-86f9-bb531f473c38,53.52576,-129.77193,12.82751,6.1406,-8.48553,-5.09464,-0.21853,1.12431,-2.88431,,1.90402,117.83241,,,,,,,,1.78059,-21.96501,,,,,,,,-0.21972,-61.30294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,Medium,Medium,High,Medium,,,
216,2021-06-06,19:09:14.58,3,1,"Agle, Davis",1000054713,Right,SPA_B,"Wright, Blake",1000075828,Right,FC_OB,Undefined,7,Top,2,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.60257,-4.766032,-2.23618,2510.638521,190.857747,12:15,6.07903,0.52941,6.74483,-13.83879,19.94592,3.62047,0.55825,-1.21285,82.37744,-7.434471,-1.576425,0.418342,,,,,,,,,,,,-2.50799,12.15221,-0.38372,50,5.75924,4.93389,-129.84823,-11.13664,-4.29598,26.35116,-11.35822,SPA_B,FC_OB,Spartanburg,Coastal Plains League,CPL,20210606-Spartanburg-1,365872b0-c71c-11eb-8b21-2587103ee89a,90.09957,,,7.22513,,,,,,,1535fbaf-d75b-4715-945c-e5afa488a363,2021-06-06,23:09:14.58,2021-06-06T19:09:14.5816868-04:00,2021-06-06T23:09:14.5816868Z,,v3,,,,"Hutchins, Ben",1000100020,Right,SPA_B,f955b1b7-219b-4a4f-a571-0b5a6e6376c3,53.75241,-130.60752,13.17558,6.07542,-10.80936,-5.67911,-0.52767,5.05768,-2.14799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,Medium,Medium,,,,,
217,2021-06-06,19:09:31.12,3,2,"Agle, Davis",1000054713,Right,SPA_B,"Wright, Blake",1000075828,Right,FC_OB,Undefined,7,Top,2,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.82931,-0.664909,-0.105548,2431.572361,201.958475,12:45,5.94757,0.80822,7.02512,-15.8941,18.78564,7.13016,4.01884,1.30649,80.15103,-3.769572,1.202038,0.423847,,,,,,,,,,,,-3.81504,10.54422,-0.80351,50,5.90112,-0.02166,-127.79541,-1.8093,-6.29248,26.98605,-14.78264,SPA_B,FC_OB,Spartanburg,Coastal Plains League,CPL,20210606-Spartanburg-1,4031cf70-c71c-11eb-8b21-2587103ee89a,88.9293,,,7.67828,,,,,,,1535fbaf-d75b-4715-945c-e5afa488a363,2021-06-06,23:09:31.12,2021-06-06T19:09:31.1255332-04:00,2021-06-06T23:09:31.1255332Z,,v3,,,,"Hutchins, Ben",1000100020,Right,SPA_B,7fb9c2cd-3db3-4ecb-a3c8-0b79f4737a75,53.4711,-128.5263,13.49302,5.9447,-1.40893,-7.39132,-0.80523,0.14877,-3.14624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
218,2021-06-06,19:09:52.20,3,3,"Agle, Davis",1000054713,Right,SPA_B,"Wright, Blake",1000075828,Right,FC_OB,Undefined,7,Top,2,2,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.17437,-4.908983,-1.661922,2534.914607,192.995722,12:30,6.12042,0.49182,6.88112,-13.98009,19.83135,4.33772,0.46948,-0.66147,82.2724,-7.601911,-0.868845,0.418507,,,,,,,,,,,,-2.73595,12.15005,-0.38796,50,5.8033,3.59508,-129.31673,-11.41136,-4.6628,25.34052,-11.46712,SPA_B,FC_OB,Spartanburg,Coastal Plains League,CPL,20210606-Spartanburg-1,4cc961d0-c71c-11eb-8b21-2587103ee89a,90.06399,,,6.90197,,,,,,,1535fbaf-d75b-4715-945c-e5afa488a363,2021-06-06,23:09:52.20,2021-06-06T19:09:52.2060068-04:00,2021-06-06T23:09:52.2060068Z,,v3,,,,"Hutchins, Ben",1000100020,Right,SPA_B,7bf46f67-e592-4152-a5f3-a2fc70d825a0,53.61705,-130.02359,12.67026,6.11716,-11.0915,-5.73356,-0.49006,3.72515,-2.3314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,Medium,Medium,,,,,
219,2021-06-06,19:10:12.17,3,4,"Agle, Davis",1000054713,Right,SPA_B,"Wright, Blake",1000075828,Right,FC_OB,Undefined,7,Top,2,3,0,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,89.62784,-4.411011,-1.706816,2474.616558,195.819142,12:30,6.12288,0.39919,7.11778,-10.8065,22.35899,6.0426,1.21155,-0.64592,82.44262,-6.54812,-0.597479,0.41449,,,,,,,,,,,,-3.68055,13.46843,-0.29962,50,5.85693,3.66215,-130.09064,-10.20507,-6.33695,26.08902,-8.98483,SPA_B,FC_OB,Spartanburg,Coastal Plains League,CPL,20210606-Spartanburg-1,5912fb40-c71c-11eb-8b21-2587103ee89a,90.93682,,,7.18523,,,,,,,1535fbaf-d75b-4715-945c-e5afa488a363,2021-06-06,23:10:12.17,2021-06-06T19:10:12.1781028-04:00,2021-06-06T23:10:12.1781028Z,,v3,,,,"Hutchins, Ben",1000100020,Right,SPA_B,6fc0c491-d5f3-4f25-a489-d639cd8d9b0b,53.38005,-130.76674,13.04451,6.11838,-9.97223,-4.49242,-0.39665,3.82637,-3.16847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,Medium,Medium,,,,,
220,2021-06-06,19:10:47.85,4,1,"Agle, Davis",1000054713,Right,SPA_B,"Drumheller, Luke",1000049241,Left,FC_OB,Undefined,7,Top,2,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.74682,-3.794122,-2.034652,2505.786592,215.979171,1:15,6.14511,0.40824,7.17016,-16.68418,16.5908,11.23548,1.30949,-0.49995,81.92553,-7.024287,0.031447,0.415174,,,,,,,,,,,,-6.61394,10.36548,-0.29215,50,5.91811,4.22821,-130.25883,-9.00474,-11.30142,28.75839,-14.46228,SPA_B,FC_OB,Spartanburg,Coastal Plains League,CPL,20210606-Spartanburg-1,6df1b1a0-c71c-11eb-8b21-2587103ee89a,90.78704,,,7.82129,,,,,,,1535fbaf-d75b-4715-945c-e5afa488a363,2021-06-06,23:10:47.85,2021-06-06T19:10:47.8508836-04:00,2021-06-06T23:10:47.8508836Z,,v3,,,,"Hutchins, Ben",1000100020,Right,SPA_B,e34c021a-f2f3-4ef4-9ea5-636d58b8b874,53.32698,-130.9913,14.3792,6.14276,-8.63639,-7.23114,-0.40351,4.51605,-5.65071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
221,2021-06-06,19:11:08.82,4,2,"Agle, Davis",1000054713,Right,SPA_B,"Drumheller, Luke",1000049241,Left,FC_OB,Undefined,7,Top,2,1,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,89.64737,-2.166044,-2.164131,2537.690283,195.186381,12:30,6.16401,0.4853,7.12845,-11.49898,21.6871,5.59878,3.23907,-1.01169,81.90951,-4.455507,-1.136539,0.414619,,,,,,,,,,,,-3.58689,12.52792,-0.35884,50,6.03137,4.72096,-130.3044,-5.10713,-6.16162,27.60304,-10.65329,SPA_B,FC_OB,Spartanburg,Coastal Plains League,CPL,20210606-Spartanburg-1,7a6fc890-c71c-11eb-8b21-2587103ee89a,90.90855,,,7.73786,,,,,,,1535fbaf-d75b-4715-945c-e5afa488a363,2021-06-06,23:11:08.82,2021-06-06T19:11:08.8280868-04:00,2021-06-06T23:11:08.8280868Z,,v3,,,,"Hutchins, Ben",1000100020,Right,SPA_B,0d611923-377a-42b2-9f6f-fb99ab69ab33,53.36794,-131.01591,13.80152,6.15947,-4.83253,-5.32665,-0.48257,4.87978,-3.08081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
222,2021-06-06,19:11:31.36,4,3,"Agle, Davis",1000054713,Right,SPA_B,"Drumheller, Luke",1000049241,Left,FC_OB,Undefined,7,Top,2,1,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,90.52273,-2.115771,-1.883587,2481.573938,192.41246,12:30,6.1231,0.57265,6.5941,-12.09938,21.01072,4.39862,3.1744,-0.78718,82.96688,-4.484067,-1.084268,0.414144,,,,,,,,,,,,-2.81284,11.91965,-0.44563,50,5.97284,4.15412,-131.54364,-5.1141,-4.943,27.13937,-11.22759,SPA_B,FC_OB,Spartanburg,Coastal Plains League,CPL,20210606-Spartanburg-1,87decf30-c71c-11eb-8b21-2587103ee89a,91.01285,,,7.55585,,,,,,,1535fbaf-d75b-4715-945c-e5afa488a363,2021-06-06,23:11:31.36,2021-06-06T19:11:31.3621284-04:00,2021-06-06T23:11:31.3621284Z,,v3,,,,"Hutchins, Ben",1000100020,Right,SPA_B,e2b0b4b8-a7f0-47d1-9db7-bb41f7c76015,53.90319,-132.34647,13.56969,6.11922,-4.78197,-5.6138,-0.57068,4.30034,-2.4715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
223,2021-06-06,19:11:57.85,4,4,"Agle, Davis",1000054713,Right,SPA_B,"Drumheller, Luke",1000049241,Left,FC_OB,Undefined,7,Top,2,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.97592,-3.114609,0.166978,2503.09812,209.860369,1:00,6.23323,0.25439,6.66671,-13.57772,19.31895,10.47237,2.24924,1.27986,83.07759,-5.7519,2.074464,0.412807,,,,,,,,,,,,-5.43414,11.3832,-0.26906,50,6.01824,-0.79858,-132.11278,-7.48777,-9.57216,29.02224,-12.12272,SPA_B,FC_OB,Spartanburg,Coastal Plains League,CPL,20210606-Spartanburg-1,97ac8650-c71c-11eb-8b21-2587103ee89a,91.3076,,,7.89834,,,,,,,1535fbaf-d75b-4715-945c-e5afa488a363,2021-06-06,23:11:57.85,2021-06-06T19:11:57.8591524-04:00,2021-06-06T23:11:57.8591524Z,,v3,,,,"Hutchins, Ben",1000100020,Right,SPA_B,ddd7a2db-085b-4b51-a8de-c5c779b3c820,53.82968,-132.95141,14.51112,6.22954,-7.13747,-6.06136,-0.24998,-0.52198,-4.78608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
224,2021-06-06,19:12:20.64,4,5,"Agle, Davis",1000054713,Right,SPA_B,"Drumheller, Luke",1000049241,Left,FC_OB,Undefined,7,Top,2,2,2,Fastball,Four-Seam,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,89.78892,-2.060785,0.218117,2581.250336,210.032499,1:00,6.17929,0.19961,6.68964,-17.50217,15.86076,8.60355,2.83527,1.11605,82.78935,-5.400855,1.786239,0.415722,,,,,,,,,,,,-4.46418,9.20764,-0.21702,50,6.03457,-0.82556,-130.6168,-5.15009,-7.76626,25.7063,-16.15562,SPA_B,FC_OB,Spartanburg,Coastal Plains League,CPL,20210606-Spartanburg-1,a54004e0-c71c-11eb-8b21-2587103ee89a,90.66733,,,6.99958,,,,,,,1535fbaf-d75b-4715-945c-e5afa488a363,2021-06-06,23:12:20.64,2021-06-06T19:12:20.6498596-04:00,2021-06-06T23:12:20.6498596Z,,v3,,,,"Hutchins, Ben",1000100020,Right,SPA_B,1d4fa374-779d-4994-be54-1fd3ac7699b5,53.80802,-131.36411,12.85315,6.17746,-4.68043,-8.07781,-0.1963,-0.59979,-3.88313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,Medium,Medium,,,,,
225,2021-06-06,19:15:55.75,1,1,"Mace, Storm",1000088118,Left,FC_OB,"Reinoso , Dayan ",1000103315,Right,SPA_B,Undefined,7,Bottom,0,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,77.23156,-0.004114,1.464382,2074.313204,145.222264,10:45,5.82979,-1.89712,6.19303,-33.28376,13.16087,-8.08465,3.05235,-1.21861,70.53204,-6.251382,0.004922,0.4905,,,,,,,,,,,,4.59146,7.28075,1.79072,50,5.81278,-2.57919,-112.17114,-0.91814,5.82631,21.05556,-22.93517,SPA_B,FC_OB,Spartanburg,Coastal Plains League,CPL,20210606-Spartanburg-1,257d26b0-c71d-11eb-8b21-2587103ee89a,76.84492,,,6.69951,,,,,,,1535fbaf-d75b-4715-945c-e5afa488a363,2021-06-06,23:15:55.75,2021-06-06T19:15:55.7504804-04:00,2021-06-06T23:15:55.7504804Z,,v3,,,,"Miller, Ryan",1000103286,Right,FC_OB,c065bfef-154a-42b8-a3e4-644405bd19d9,54.3027,-112.97591,10.52778,5.83112,-0.04153,-11.46759,1.89355,-2.80188,2.91315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
226,2021-06-06,19:16:10.11,1,2,"Mace, Storm",1000088118,Left,FC_OB,"Reinoso , Dayan ",1000103315,Right,SPA_B,Undefined,7,Bottom,0,0,1,Curveball,Curveball,InPlay,Undefined,FlyBall,Out,1,0,,66.46394,1.38302,0.662443,2382.66395,262.353323,2:45,5.88598,-1.98911,5.20682,-60.7657,4.18406,16.03832,2.12314,-0.02958,61.37803,-9.643713,3.507868,0.580043,80.68133,40.686844,-23.448152,4125.896227,100.13116,84.39814,-45.53839,252.58313,,-24.495864,5.452946,-7.89871,2.22543,1.91498,50,5.9679,-1.64962,-96.46861,0.56898,-7.42827,15.29006,-30.08116,SPA_B,FC_OB,Spartanburg,Coastal Plains League,CPL,20210606-Spartanburg-1,2e14b4a0-c71d-11eb-8b21-2587103ee89a,64.98213,95.75919,,5.08592,,,,3.48701,2.20478,0.15589,1535fbaf-d75b-4715-945c-e5afa488a363,2021-06-06,23:16:10.11,2021-06-06T19:16:10.1150500-04:00,2021-06-06T23:16:10.1150500Z,FlyBall,v3,,,,"Miller, Ryan",1000103286,Right,FC_OB,2bc5478b-80f4-44b7-af4c-0f02d33635de,55.29299,-97.30392,7.64503,5.89193,2.21234,-15.04058,1.99401,-1.24381,-3.71414,170.045517,3.48809,82.27919,-21.01149,5.45711,-0.88993,0.00983,0.0299,-0.00525,0.00029,2.19573,77.32327,-18.2341,1.61079,-0.68695,0.26838,-0.05489,0.00545,-0.00021,0.15627,-35.70861,5.97216,-0.76772,-0.01872,0.04708,-0.01353,0.00173,-9E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
227,2021-06-06,19:16:43.57,2,1,"Mace, Storm",1000088118,Left,FC_OB,"Foster, Carter",1000065704,Right,SPA_B,Undefined,7,Bottom,1,0,0,Curveball,Curveball,InPlay,Undefined,GroundBall,Error,0,0,,66.90161,2.685745,1.118536,2382.99518,300.227435,4:00,5.7174,-1.77482,5.07036,-70.77929,-6.1137,13.99375,2.3536,0.44602,61.63793,-10.089083,3.593565,0.578773,56.83813,8.315504,-22.279359,1479.047737,,,,72.57336,,-23.610667,0.917643,-6.66559,-3.29614,1.65691,50,5.91586,-2.37658,-97.01594,2.40043,-6.32379,15.82471,-35.30115,SPA_B,FC_OB,Spartanburg,Coastal Plains League,CPL,20210606-Spartanburg-1,41f20090-c71d-11eb-8b21-2587103ee89a,65.12477,4.64443,,5.26368,,,,2.18411,2.44398,-0.42168,1535fbaf-d75b-4715-945c-e5afa488a363,2021-06-06,23:16:43.57,2021-06-06T19:16:43.5769124-04:00,2021-06-06T23:16:43.5769124Z,GroundBall,v3,,,,"Miller, Ryan",1000103286,Right,FC_OB,d8f5a7f8-254d-425f-909c-07d40861b43b,55.43123,-97.89785,7.91235,5.72726,4.36775,-17.65058,1.77953,-2.02416,-3.16189,97.315731,2.18411,76.32771,-7.2387,0.51348,0.40182,-1.49289,2.20263,-1.67155,0.51431,2.44398,12.05633,-16.83848,0.98557,-0.27768,0.43615,-0.58719,0.44127,-0.13537,-0.42168,-31.27227,-0.13789,0.28808,-0.1594,0.23656,-0.31843,0.23907,-0.07331,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
